Time (s)	Voltage (V)	Current (A)
416.5	0.683531	0.166499
416.85	0.685281	0.166912
417.2	0.687031	0.167547
417.55	0.688781	0.16928
417.9	0.690531	0.170588
418.25	0.692281	0.171595
418.6	0.694031	0.172843
418.95	0.695781	0.174637
419.3	0.697531	0.17606
419.65	0.699281	0.176419
